eventName,eventDate,eventEndDate,description,category,region,significance
American Civil War,1861-04-12,1865-04-09,Civil war between the Union (North) and Confederacy (South) over slavery and states' rights.,War & Conflict,North America,Abolished slavery; strengthened federal authority.
American Revolution,1775-04-19,1783-09-03,Thirteen British colonies in North America fought for independence.,War & Conflict,North America,Birth of the United States; inspired global independence movements.
British Raj Begins,1858-08-02,,British Crown took direct control of India after the 1857 Rebellion.,Politics & Society,South Asia,Formalized British colonial rule in India (until 1947).
Cadbury Chocolate Shop Opens,1824-01-01,,"John Cadbury opened a shop selling drinking chocolate, founding the Cadbury company.",Economy & Trade,Europe,Launched one of the world's most iconic confectionery brands.
Darwin's HMS Beagle Voyage,1831-12-27,1836-10-02,"Darwin's voyage aboard HMS Beagle, inspiring his evolutionary theories.",Science & Invention,Global,Collected data leading to the theory of evolution.
Discovery of America,1492-10-12,,"Christopher Columbus's first voyage landed in the Americas (most likely the Bahamas), marking a major turning point in world history.",Exploration,Global,This event initiated European exploration and colonization in the Americas.
Emancipation Proclamation,1863-01-01,,Lincoln declared all enslaved people in Confederate states 'forever free'.,Politics & Society,North America,Pivotal in abolishing slavery; shifted Civil War's purpose.
End of World War I (Armistice Day),1918-11-11,,End of World War I marked a turning point in global politics.,War & Conflict,Europe,Marked the end of a devastating war and reshaped international relations.
First Electric Motor,1832-01-01,,"William Sturgeon built the first practical electric motor, demonstrating electromagnetism.",Science & Invention,Europe,Laid groundwork for electric industrialization.
First Opium War,1839-11-03,1842-08-29,Conflicts between China and Britain over opium trade and sovereignty.,War & Conflict,East Asia,Forced China to open ports; began 'Century of Humiliation'.
First Stock Exchange (Amsterdam),1602-01-01,,World's first stock exchange established by the Dutch East India Company in Amsterdam.,Economy & Trade,Europe,Created modern stock trading; enabled shareholder capitalism.
Founding of Modern Singapore,1819-01-29,,British East India Company established Singapore as a trading post.,Politics & Society,Southeast Asia,Became a key global trade hub; remains a financial center.
Founding of the Dutch East India Company,1602-03-20,,"Dutch East India Company (VOC) founded, becoming the world's first multinational corporation.",Economy & Trade,Europe,Pioneered modern corporate structure and global trade.
French Revolution,1789-07-14,1799-11-09,"Overthrow of the French monarchy, leading to republicanism and Napoleon's rise.",Politics & Society,Europe,Spread democratic ideals; destabilized European monarchies.
Great Exhibition of 1851,1851-05-01,1851-10-15,The Great Exhibition showcased global industrial innovations in London's Crystal Palace.,Arts & Culture,Europe,First World's Fair; symbolized British industrial dominance.
Industrial Revolution,1760-01-01,1840-12-01,"Transition to industrialized economies, starting in Britain with mechanized production and steam power.",Economy & Trade,Europe,Transformed global economies; spurred urbanization and imperialism.
Invention of Hot Air Balloon,1783-11-21,,Montgolfier brothers launched the first manned hot-air balloon flight in Paris.,Science & Invention,Europe,Marked the birth of human flight; inspired aviation development.
Invention of Marine Chronometer,1761-01-01,,"John Harrison invented the marine chronometer, solving longitude measurement at sea.",Science & Invention,Europe,Revolutionized naval navigation; enabled precise global exploration.
Irish Famine of 1740,1740-01-01,1741-12-31,Extreme weather and crop failures caused mass starvation in Ireland.,Disaster & Pandemic,Europe,"Killed 300,000+; led to early Irish emigration."
Les Misérables Published,1862-01-01,,Victor Hugo published his epic novel about social injustice in France.,Arts & Culture,Europe,Classic of world literature; influenced social reforms.
London Underground Opens,1863-01-10,,World's first underground railway opened between Paddington and Farringdon.,Economy & Trade,Europe,Pioneered urban rapid transit; model for subway systems.
Maxwell's Electromagnetic Theory,1861-01-01,,James Clerk Maxwell formulated equations unifying electricity and magnetism.,Science & Invention,Europe,"Laid foundation for modern physics (e.g., radio, light waves)."
Meiji Restoration,1868-01-03,1912-01-03,Overthrow of the Tokugawa shogunate; modernization of Japan under Emperor Meiji.,Politics & Society,East Asia,Japan industrialized rapidly; became a global power.
Napoleon Crowned Emperor,1804-12-02,,"Napoleon Bonaparte crowned himself Emperor, consolidating power in France.",Politics & Society,Europe,Marked peak of French imperial ambitions; spread Napoleonic Code.
Napoleonic Wars,1803-05-18,1815-06-18,"Napoleon Bonaparte's campaigns to dominate Europe, countered by coalitions.",War & Conflict,Europe,Reshaped European borders; spread nationalism.
New Zealand Founded,1840-02-06,,New Zealand became a British colony with the signing of the Treaty of Waitangi.,Politics & Society,Oceania,Established British sovereignty; began Maori land dispossession.
NYSE Founded,1817-03-08,,New York Stock & Exchange Board founded on Wall Street.,Economy & Trade,North America,Became the world's largest stock exchange; symbol of American capitalism.
On the Origin of Species Published,1859-11-24,,Charles Darwin published his theory of evolution by natural selection.,Science & Invention,Europe,Revolutionized biology; foundational for modern genetics.
Perry Expedition Opens Japan,1853-07-08,,U.S. Navy forced Japan to open trade after 200+ years of isolation.,Politics & Society,East Asia,Started Japan's modernization (Meiji Restoration).
Publication of Frankenstein,1818-01-01,,"Mary Shelley published the first science fiction novel, 'Frankenstein; or, The Modern Prometheus'.",Arts & Culture,Europe,Founded the sci-fi genre; explored ethics of scientific creation.
Rebellions of 1837 in Canada,1837-12-01,1838-12-01,Anti-colonial uprisings in Upper and Lower Canada against British rule.,Politics & Society,North America,Spurred democratic reforms; led to Canadian Confederation debates.
Scramble for Africa,1884-11-15,1885-02-26,European powers partitioned Africa into colonies during the Berlin Conference.,Politics & Society,Africa,Exploited African resources; imposed unstable borders.
Second Opium War,1856-10-08,1860-10-18,Second conflict expanding foreign control over Chinese trade and territory.,War & Conflict,East Asia,Further weakened Qing dynasty; legalized opium trade.
Seven Years' War,1756-05-17,1763-02-10,"Global war involving Britain, France, Prussia, Austria, and others, fought in Europe, Americas, and Asia.",War & Conflict,Global,Britain became the dominant colonial power; France lost Canada.
Slavery Abolition Act 1833,1833-08-28,,British Parliament abolished slavery in most of the British Empire.,Politics & Society,Global,"Freed 800,000+ enslaved people; compensated slave owners."
Suez Canal Opens,1869-11-17,,"Artificial waterway connecting the Mediterranean and Red Sea, boosting global trade.",Economy & Trade,Africa,Reduced travel time between Europe and Asia; enhanced trade.
Taiping Rebellion,1850-01-11,1864-07-19,Massive civil war in China led by Hong Xiuquan against the Qing dynasty.,War & Conflict,East Asia,20-30 million deaths; bloodiest conflict of the 19th century.
Telegraphy Patented,1837-01-01,,"Samuel Morse patented the electric telegraph, revolutionizing long-distance communication.",Science & Invention,North America,Enabled instant communication; precursor to modern telecom.
The Raft of the Medusa Painted,1819-01-01,,Théodore Géricault completed his monumental painting depicting a shipwreck scandal.,Arts & Culture,Europe,Pioneered Romanticism; critiqued government incompetence.
Treaty of Nanking,1842-08-29,,Treaty ending the First Opium War; ceded Hong Kong to Britain.,Politics & Society,East Asia,Marked start of British colonial rule in Hong Kong (until 1997).
War of 1812,1812-06-18,1815-02-18,Conflict between the U.S. and Britain over trade restrictions and territorial disputes.,War & Conflict,North America,Confirmed U.S. independence; inspired 'The Star-Spangled Banner'.
First Powered Flight,1903-12-17,,"Orville and Wilbur Wright achieved the first sustained powered airplane flight at Kitty Hawk, North Carolina.",Exploration,North America,Launched the aviation age; transformed travel and warfare within decades.
Theory of General Relativity,1915-11-25,,"Albert Einstein presented his general theory of relativity to the Prussian Academy of Sciences, describing gravity as the curvature of spacetime.",Science & Invention,Europe,Revolutionised physics and cosmology; foundation for GPS technology, black hole research and gravitational wave detection.
World War I,1914-07-28,1918-11-11,"Global war centred in Europe triggered by the assassination of Archduke Franz Ferdinand, involving all major world powers.",War & Conflict,Europe,17 million deaths; reshaped borders; led directly to World War II.
Russian Revolution,1917-02-23,1917-11-07,"Two revolutions overthrew the Tsar and brought the Bolsheviks to power under Lenin, creating the Soviet Union.",Politics & Society,Europe,First communist state; shaped the Cold War and 20th-century geopolitics.
Spanish Flu Pandemic,1918-02-01,1920-04-01,Global influenza pandemic infected 500 million people — about a third of the world's population.,Disaster & Pandemic,Global,50—100 million deaths; deadliest pandemic in modern history.
Women's Suffrage in the United States,1920-08-18,,"The 19th Amendment granted American women the right to vote, after decades of campaigning.",Politics & Society,North America,Landmark in gender equality; inspired suffrage movements worldwide.
Chinese Civil War,1927-08-01,1949-10-01,"Armed conflict between the Chinese Nationalist Party (Kuomintang) and the Chinese Communist Party, ending in Communist victory.",War & Conflict,East Asia,Established the People's Republic of China; divided China and Taiwan; reshaped Asia's Cold War alignment.
Great Depression,1929-10-29,1939-09-01,"Global economic collapse triggered by the Wall Street Crash, causing mass unemployment and poverty worldwide.",Economy & Trade,Global,25% unemployment in US; reshaped economic policy and fuelled the rise of fascism.
Rise of Nazi Germany,1933-01-30,1945-05-08,"Adolf Hitler appointed Chancellor of Germany, beginning the Nazi dictatorship and path to World War II.",Politics & Society,Europe,Led to World War II and the Holocaust; redefined international law and human rights.
World War II,1939-09-01,1945-09-02,"Global war involving the Allied and Axis powers, fought across Europe, Asia, Africa and the Pacific.",War & Conflict,Global,70—85 million deaths; Holocaust; nuclear bombs; birth of the UN and Cold War.
Holocaust,1941-01-01,1945-05-08,Systematic genocide by Nazi Germany of six million Jews and millions of others across occupied Europe.,War & Conflict,Europe,Largest genocide of the 20th century; led to creation of Israel and modern human rights law.
First Commercial Computer — ENIAC,1945-02-15,,"ENIAC, the first general-purpose electronic computer, was completed at the University of Pennsylvania.",Science & Invention,North America,Launched the computer age; foundation for the digital revolution.
Atomic Bomb — Hiroshima,1945-08-06,,"The United States dropped the first atomic bomb, ""Little Boy"", on the Japanese city of Hiroshima, killing 70,000—80,000 people instantly.",War & Conflict,East Asia,First use of a nuclear weapon in war; forced Japanese surrender negotiations to begin.
Atomic Bomb — Nagasaki,1945-08-09,,"The United States dropped the second atomic bomb, ""Fat Man"", on Nagasaki, Japan, killing 40,000 people instantly.",War & Conflict,East Asia,"Second and last use of nuclear weapons in war; Japan surrendered six days later, ending World War II."
Formation of the United Nations,1945-10-24,,"51 nations signed the UN Charter in San Francisco, establishing the United Nations to maintain international peace.",Politics & Society,Global,First effective global peacekeeping body; framework for international law and cooperation.
Cold War,1947-03-12,1991-12-25,"Decades-long geopolitical tension between the US-led Western bloc and Soviet-led Eastern bloc, fought through proxy wars and an arms race.",Politics & Society,Global,Defined world politics for 45 years; nuclear arms race; dozens of proxy conflicts worldwide.
Indian Independence,1947-08-15,,"India gained independence from British colonial rule, accompanied by partition into India and Pakistan.",Politics & Society,South Asia,End of British Empire in South Asia; partition caused 1—2 million deaths and mass displacement.
Creation of Israel,1948-05-14,,"The State of Israel was proclaimed, leading immediately to war with neighbouring Arab states.",Politics & Society,Global,Established the modern Israeli state; central cause of ongoing Middle East conflict.
South African Apartheid,1948-05-26,1994-04-27,"South Africa's institutionalised system of racial segregation and white-minority rule, enforced by law from 1948 until democratic elections in 1994.",Politics & Society,Africa,Decades of oppression; global anti-apartheid movement; peaceful transition to democracy under Mandela.
Proclamation of the People's Republic of China,1949-10-01,,"Mao Zedong proclaimed the founding of the People's Republic of China in Beijing, following Communist victory in the Civil War.",Politics & Society,East Asia,World's most populous nation became communist; shaped Cold War geopolitics and the 20th-century world order.
Korean War,1950-06-25,1953-07-27,War between North Korea (backed by China and USSR) and South Korea (backed by UN forces led by the US).,War & Conflict,East Asia,3 million deaths; Korea remains divided; defined Cold War proxy conflicts.
Discovery of DNA Double Helix,1953-04-25,,"Watson and Crick described the double-helix structure of DNA, the molecule carrying genetic information.",Science & Invention,Europe,Foundation of modern genetics; led to the Human Genome Project and gene therapy.
Vietnam War,1955-11-01,1975-04-30,Prolonged conflict between communist North Vietnam and US-backed South Vietnam; the US withdrew in 1973.,War & Conflict,Southeast Asia,"58,000 US deaths; 2—3 million Vietnamese deaths; reshaped US foreign policy."
Sputnik Launched,1957-10-04,,"The Soviet Union launched Sputnik 1, the world's first artificial satellite, into orbit.",Exploration,Europe,Launched the Space Race; led directly to NASA and modern satellite technology.
First Human in Space — Yuri Gagarin,1961-04-12,,Soviet cosmonaut Yuri Gagarin became the first human to travel into outer space aboard Vostok 1.,Exploration,Europe,Opened the Space Age; accelerated the Space Race between US and USSR.
Cuban Missile Crisis,1962-10-16,1962-10-28,13-day standoff between the US and USSR over Soviet nuclear missiles in Cuba — closest the Cold War came to nuclear war.,Politics & Society,North America,Closest moment to nuclear war in history; led to hotline between US and Soviet leaders.
Assassination of John F Kennedy,1963-11-22,,"US President John F. Kennedy was assassinated in Dallas, Texas, shocking the world.",Politics & Society,North America,Traumatic moment in US history; accelerated civil rights debate and Cold War tensions.
Civil Rights Act — USA,1964-07-02,,"US Congress passed the Civil Rights Act, outlawing discrimination based on race, colour, religion, sex or national origin.",Politics & Society,North America,Landmark in racial equality; cornerstone of modern civil rights law.
Cultural Revolution in China,1966-05-16,1976-10-06,Mao Zedong launched a radical political campaign to purge capitalist and traditional elements from Chinese society.,Politics & Society,East Asia,1—2 million deaths; devastated Chinese culture and education; isolated China internationally.
Assassination of Martin Luther King Jr.,1968-04-04,,"Civil rights leader Martin Luther King Jr. was assassinated in Memphis, Tennessee.",Politics & Society,North America,Galvanised the civil rights movement; led to significant legislative and social change.
Moon Landing,1969-07-20,,Apollo 11 astronauts Neil Armstrong and Buzz Aldrin became the first humans to walk on the Moon.,Exploration,Global,"Defining achievement of the Space Age; watched live by 600 million people worldwide; ""one giant leap for mankind."""
HIV/AIDS Epidemic,1981-06-05,,"HIV/AIDS was first identified in the US; the epidemic spread globally, killing tens of millions.",Disaster & Pandemic,Global,36+ million deaths; transformed sexual health policy; stigmatised communities worldwide.
Chernobyl Nuclear Disaster,1986-04-26,,Explosion at the Chernobyl nuclear power plant in Soviet Ukraine released massive radiation across Europe.,Disaster & Pandemic,Europe,Worst nuclear disaster in history; accelerated the fall of the USSR; reshaped nuclear policy.
Fall of the Berlin Wall,1989-11-09,,"East Germans began demolishing the Berlin Wall, symbolising the collapse of communist rule in Eastern Europe.",Politics & Society,Europe,Ended the Cold War division of Germany and Europe; led to German reunification.
World Wide Web Goes Public,1991-08-06,,"Tim Berners-Lee published the first website, launching the public World Wide Web.",Science & Invention,Europe,"Transformed communication, commerce and society; foundation of the modern internet."
Dissolution of the Soviet Union,1991-12-25,,"The USSR officially dissolved into 15 independent states, ending the Cold War.",Politics & Society,Europe,End of the Cold War; reshaped global geopolitics; created 15 new nations.
Rwandan Genocide,1994-04-07,1994-07-15,"Hutu extremists massacred an estimated 800,000 Tutsi people in 100 days in Rwanda.",War & Conflict,Africa,Worst genocide since the Holocaust; exposed failures of international response.
Nelson Mandela Elected President,1994-04-27,,"Nelson Mandela became South Africa's first Black president after the country's first fully democratic election, ending apartheid.",Politics & Society,Africa,Symbol of peaceful transition and reconciliation; icon of the global struggle against racial injustice.
September 11 Attacks,2001-09-11,,"Al-Qaeda terrorists hijacked four aircraft, killing nearly 3,000 people in New York, Washington and Pennsylvania.",War & Conflict,North America,Triggered the War on Terror; reshaped global security policy and international relations.
Human Genome Project Completed,2003-04-14,,"Scientists completed the first full sequencing of the human genome, mapping all 3 billion base pairs of human DNA.",Science & Invention,Global,Opened era of genomic medicine; transformed biology and medical research.
Global Financial Crisis,2008-09-15,2009-06-01,Collapse of Lehman Brothers triggered a global financial crisis — the worst since the Great Depression.,Economy & Trade,Global,Caused the Great Recession; reshaped global banking regulation; fuelled political populism.
Jazz Age & Harlem Renaissance,1920-01-01,1929-12-31,"The 1920s saw jazz music explode in popularity across America, centred in Harlem, New York, giving rise to a golden era of African-American music, art and literature.",Arts & Culture,North America,Defined modern American music; gave Black artists global platforms for the first time.
First Talking Film — The Jazz Singer,1927-10-06,,"The Jazz Singer became the first feature-length film with synchronised speech, revolutionising the movie industry.",Arts & Culture,North America,Ended the silent film era; launched the global Hollywood studio system.
Emergence of Rock and Roll,1955-01-01,1959-12-31,"Rock and roll music emerged in the United States in the mid-1950s, blending rhythm and blues with country music. Artists like Elvis Presley and Chuck Berry defined the genre.",Arts & Culture,North America,Transformed popular music worldwide; became the defining cultural movement of the 20th century.
The Beatles Conquer the World,1963-01-01,1970-04-10,"The Beatles, a British rock band from Liverpool, became the most influential music group in history, transforming popular culture across the globe.",Arts & Culture,Europe,"Shaped fashion, politics and music for generations; sparked the British Invasion of American pop culture."
Woodstock Festival,1969-08-15,1969-08-18,Half a million people gathered on a farm in New York for a music festival that became the defining cultural event of the 1960s counterculture movement.,Arts & Culture,North America,Symbol of the peace and love generation; captured the spirit of 1960s youth culture worldwide.
Amundsen Reaches the South Pole,1911-12-14,,"Norwegian explorer Roald Amundsen led the first expedition to reach the South Pole, beating British explorer Robert Falcon Scott by five weeks.",Exploration,Global,Last great feat of geographical exploration; Scott's team perished on the return journey.
Edmund Hillary Summits Everest,1953-05-29,,New Zealander Edmund Hillary and Nepali Sherpa Tenzing Norgay became the first people confirmed to have reached the summit of Mount Everest.,Exploration,South Asia,Greatest mountaineering achievement; announced on the day of Queen Elizabeth II's coronation.
Voyager 1 Launched,1977-09-05,,"NASA launched Voyager 1, which flew past Jupiter and Saturn before becoming the first human-made object to enter interstellar space in 2012.",Exploration,North America,Humanity's furthest-reaching object; sent back first close-up images of the outer planets.
Hubble Space Telescope Launched,1990-04-24,,"NASA launched the Hubble Space Telescope into orbit, providing the clearest images of deep space ever captured.",Exploration,Global,Transformed astronomy; images of distant galaxies changed our understanding of the universe's age and size.
Mars Rover Curiosity Lands,2012-08-06,,"NASA's Curiosity rover successfully landed on Mars, beginning a mission to assess whether the planet could have supported microbial life.",Exploration,Global,Most sophisticated Mars mission to date; found evidence of ancient water and potential habitability.
Discovery of Penicillin,1928-09-03,,"Scottish bacteriologist Alexander Fleming discovered penicillin, the world's first antibiotic, by observing that mould killed bacteria in a petri dish.",Science & Invention,Europe,Saved hundreds of millions of lives; launched the antibiotic era and modern medicine.
Polio Vaccine Developed,1955-04-12,,"Jonas Salk announced the first successful polio vaccine, effectively ending one of the most feared childhood diseases in the world.",Science & Invention,North America,Near-eradicated polio globally; one of the greatest public health achievements in history.
ARPANET — Birth of the Internet,1969-10-29,,"The first message was sent over ARPANET, the US military network that became the foundation of the modern internet.",Science & Invention,North America,"Direct predecessor of the internet; transformed global communication, commerce and society."
First Mobile Phone Call,1973-04-03,,Martin Cooper of Motorola made the first handheld mobile phone call in New York City.,Science & Invention,North America,Launched the mobile revolution; by 2020 there were more mobile phones than people on Earth.
Dolly the Sheep — First Cloned Mammal,1996-07-05,,"Dolly the sheep became the first mammal to be successfully cloned from an adult cell, at the Roslin Institute in Scotland.",Science & Invention,Europe,Proved adult cell cloning was possible; sparked global debate about genetic ethics.
First iPhone Released,2007-06-29,,"Apple launched the first iPhone, combining a phone, music player and internet browser into a single touchscreen device.",Science & Invention,North America,"Launched the smartphone era; transformed communication, navigation, photography and daily life."
ChatGPT and the AI Revolution,2022-11-30,,"OpenAI launched ChatGPT, a conversational AI assistant that reached 100 million users in two months — the fastest-growing application in history.",Science & Invention,North America,"Triggered a global AI arms race; began reshaping work, education, creativity and society."
Sinking of The RMS Titanic,1912-04-15,,"The RMS Titanic, the world's largest ocean liner, struck an iceberg on its maiden voyage and sank in the North Atlantic, killing over 1,500 people.",Disaster & Pandemic,Global,Deadliest peacetime maritime disaster; transformed maritime safety laws internationally.
2004 Indian Ocean Tsunami,2004-12-26,,"A magnitude 9.1 undersea earthquake off Sumatra triggered a series of massive tsunamis across the Indian Ocean, killing 228,000 people.",Disaster & Pandemic,South Asia,Deadliest tsunami in recorded history; triggered the largest international aid response ever seen.
COVID-19 Pandemic,2020-01-11,2023-05-05,"A novel coronavirus (SARS-CoV-2) emerged in Wuhan, China and spread globally, causing the worst pandemic since the Spanish Flu. Over 7 million deaths were recorded.",Disaster & Pandemic,Global,Killed 7+ million people; disrupted the global economy; accelerated remote work and vaccine technology.
Armenian Genocide,1915-04-24,1923-07-24,"The Ottoman government systematically massacred and deported 600,000–1.5 million Armenians during and after World War I.",War & Conflict,Middle East,One of the first genocides of the 20th century; shaped modern international law on crimes against humanity.
Spanish Civil War,1936-07-17,1939-04-01,"A military coup against Spain's elected government sparked a brutal civil war, with Nazi Germany and Fascist Italy supporting Franco's Nationalists.",War & Conflict,Europe,Testing ground for WWII weapons and tactics; Franco's dictatorship lasted until 1975.
Gulf War,1990-08-02,1991-02-28,"A US-led coalition expelled Iraq from Kuwait after Saddam Hussein's invasion, in the first major conflict of the post-Cold War era.",War & Conflict,Middle East,First televised war in real time; established US military dominance; left unresolved tensions leading to the 2003 Iraq War.
War in Afghanistan,2001-10-07,2021-08-30,"Following the September 11 attacks, the US and NATO invaded Afghanistan to dismantle Al-Qaeda and remove the Taliban. The Taliban retook power in 2021.",War & Conflict,South Asia,"Longest war in US history; 240,000+ deaths; ended with Taliban returning to power."
Russia Invades Ukraine,2022-02-24,,"Russia launched a full-scale invasion of Ukraine, the largest military attack in Europe since World War II.",War & Conflict,Europe,"Caused Europe's largest refugee crisis since WWII; reshaped NATO, global energy markets and the world order."
Gandhi's Salt March,1930-03-12,1930-04-05,"Mahatma Gandhi led a 240-mile march to the sea to protest British salt taxes, galvanising India's independence movement through nonviolent civil disobedience.",Politics & Society,South Asia,Pivotal act of nonviolent resistance; inspired civil rights movements worldwide.
Berlin Wall Built,1961-08-13,1989-11-09,"East Germany built a concrete wall dividing Berlin overnight, sealing the border between communist East and democratic West Germany.",Politics & Society,Europe,Physical symbol of the Cold War Iron Curtain; its fall in 1989 signalled the end of the Cold War.
Tiananmen Square Protests,1989-04-15,1989-06-04,"Students and citizens gathered in Beijing's Tiananmen Square demanding democratic reforms. The protests were crushed by the Chinese military, with hundreds to thousands killed.",Politics & Society,East Asia,Defining moment of Chinese political history; the iconic 'Tank Man' image became a symbol of resistance.
Good Friday Agreement,1998-04-10,,"A landmark peace deal ending 30 years of conflict in Northern Ireland, signed by the British and Irish governments and most Northern Irish political parties.",Politics & Society,Europe,"Ended The Troubles, which killed 3,500 people; established power-sharing government in Northern Ireland."
Barack Obama Elected President,2008-11-04,,"Barack Obama was elected the 44th President of the United States, becoming the first African-American to hold the office.",Politics & Society,North America,Historic milestone in US racial history; elected amid the Global Financial Crisis.
Arab Spring,2010-12-17,2012-12-31,"A wave of pro-democracy protests swept across the Arab world, toppling governments in Tunisia, Egypt, Libya and Yemen, and triggering civil war in Syria.",Politics & Society,Middle East,Reshaped the Middle East; social media played a key role; led to both democratic gains and devastating conflicts.
Brexit — UK Leaves the EU,2020-01-31,,"The United Kingdom officially left the European Union, following a 2016 referendum in which 52% of British voters chose to leave.",Politics & Society,Europe,"First country to leave the EU; reshaped UK-Europe relations, trade and identity."
OPEC Oil Crisis,1973-10-17,1974-03-18,"Arab OPEC members declared an oil embargo against Western nations supporting Israel, causing oil prices to quadruple and triggering a global recession.",Economy & Trade,Middle East,Ended the post-WWII economic boom; accelerated interest in renewable energy and energy independence.
Euro Currency Launched,1999-01-01,,"Eleven European Union countries adopted the euro as a common currency, the largest monetary union in history.",Economy & Trade,Europe,Eliminated currency exchange within Europe; strengthened European economic integration.
Rise of China as Economic Power,2001-12-11,,"China joined the World Trade Organisation, formally integrating into the global economy and beginning two decades of extraordinary economic growth.",Economy & Trade,East Asia,China became the world's second-largest economy; lifted 800 million people out of poverty.