name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Johann Sebastian Bach,1685-03-31,1750-07-28,German,"A German composer and musician of the late Baroque period, known for the Brandenburg Concertos, Goldberg Variations, and Mass in B minor. Widely regarded as one of the greatest composers in the history of Western music.",Europe,Music,
Claude Monet,1840-11-14,1926-12-05,French,"Founder of French Impressionism, celebrated for his landscape paintings and exploration of light and color.",Europe,Visual Arts,
Mao Zedong (毛澤東),1893-12-26,1976-09-09,Chinese,"Founding father of the People's Republic of China, his rule was marked by radical policies and political campaigns.",East Asia,Politics & Military,
John Calvin,1509-07-10,1564-05-27,French,Theologian whose writings established Calvinism and influenced Reformed theology.,Europe,Religion,
Horatio Nelson,1758-09-29,1805-10-21,British,British admiral whose victories secured British naval dominance during the Napoleonic Wars.,Europe,Politics & Military,
Fibonacci,1170-01-01,1240-01-01,Italian,Popularized Hindu-Arabic numerals in Europe through Liber Abaci and introduced the Fibonacci sequence.,Europe,Science,
William Shakespeare,1564-04-23,1616-04-23,English,"An English playwright, poet and actor. Widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist.",Europe,Literature,
Charles Darwin,1809-02-12,1882-04-19,English,An English naturalist widely known for his contributions to evolutionary biology and the theory of natural selection.,Europe,Science,
Vincent van Gogh,1853-03-30,1890-07-29,Dutch,Dutch post-impressionist painter whose emotionally charged works and bold color palettes have left a lasting legacy in art.,Europe,Visual Arts,
John Maynard Keynes,1883-06-05,1946-04-21,British,"One of the most influential economists of modern times, founder of Keynesian economics.",Europe,Economy,
Ludwig van Beethoven,1770-12-17,1827-03-26,German,"A German composer and pianist, one of the most revered figures in the history of Western music spanning the Classical and Romantic eras.",Europe,Music,
Cao Xueqin (曹雪芹),1715-01-01,1763-01-01,Chinese,"Author of Dream of the Red Chamber, a pinnacle of Qing-era vernacular fiction.",East Asia,Literature,
Al-Zarqali (Arzachel),1029-01-01,1087-01-01,Andalusian,Designed the universal astrolabe and refined solar tables later used by Copernicus.,Europe,Science,
Fukuzawa Yukichi (福澤諭吉),1835-01-10,1901-02-03,Japanese,Writer and educator whose advocacy of Eastern ethics and Western technology shaped Japan's modernization and founded Keio University.,East Asia,Literature,
Peter the Great,1672-06-09,1725-02-08,Russian,Westernized and expanded Russia; founded Saint Petersburg.,Europe,Politics & Military,
Dmitry Donskoy (Дмитрий Донской),1350-10-12,1389-05-19,Russian,"Defeated the Mongols at Kulikovo, boosting Moscow's rise within Rus'.",Europe,Politics & Military,
Robert Boyle,1627-01-25,1691-12-31,Irish,Formulated Boyle's Law and advanced chemistry as an experimental science.,Europe,Science,
Tran Hung Dao (陳興道),1228-06-13,1300-04-07,Vietnamese,General who twice repelled massive Mongol invasions of Dai Viet.,East Asia,Politics & Military,
Charles Dickens,1812-02-07,1870-06-09,English,Renowned English writer known for vivid depictions of Victorian society in works like Oliver Twist and A Christmas Carol.,Europe,Literature,
Giovanni da Pian del Carpine,1185-01-01,1252-08-01,Italian,First papal envoy to reach Karakorum; earliest European eyewitness report of the Mongol Empire.,Europe,Exploration & Discovery,
Kim Il-sung,1912-04-15,1994-07-08,North Korean,"Founding leader of North Korea, he established a rigid totalitarian regime with dynastic succession.",East Asia,Politics & Military,
William of Ockham,1287-01-01,1347-04-09,English,Philosopher who formulated Ockham's Razor and challenged papal authority.,Europe,Philosophy,
William the Conqueror,1028-01-01,1087-09-09,Norman,Duke of Normandy who won the Battle of Hastings (1066) and reshaped England with the Domesday survey.,Europe,Politics & Military,
Frederick I Barbarossa,1122-12-17,1190-06-10,German,Holy Roman Emperor who reasserted imperial authority in Germany and Italy and led the Third Crusade.,Europe,Politics & Military,
Aguda (金太祖阿骨打),1068-08-01,1123-09-19,Jurchen,Founder of the Jin dynasty; his armies overthrew the Liao and captured North China.,East Asia,Politics & Military,
Friedrich Nietzsche,1844-10-15,1900-08-25,German,"Influential German philosopher whose works on morality, culture, and existentialism have shaped modern thought.",Europe,Philosophy,
Geoffrey Chaucer,1343-01-01,1400-10-25,English,"Wrote The Canterbury Tales, establishing Middle English as a major literary language.",Europe,Literature,
Michael Faraday,1791-09-22,1867-08-25,English,English scientist known for groundbreaking work in electromagnetism and electrochemistry.,Europe,Science,
Ashikaga Yoshimitsu (足利義満),1358-09-25,1408-05-06,Japanese,Muromachi shogun who fostered trade with Ming China and built Kinkaku-ji.,East Asia,Politics & Military,
Toyotomi Hideyoshi (豊臣秀吉),1537-03-17,1598-09-18,Japanese,"Completed Japan's unification; land surveys, sword hunt, and invasions of Korea.",East Asia,Politics & Military,
Jiaqing Emperor (嘉慶帝),1760-11-13,1820-09-02,Chinese,Tackled Heshen's corruption and suppressed the White Lotus Rebellion.,East Asia,Politics & Military,
Pierre-Auguste Renoir,1841-02-25,1919-12-03,French,French Impressionist painter celebrated for his vibrant depictions of social life and luminous portraits.,Europe,Visual Arts,
John Adams,1735-10-30,1826-07-04,American,Second U.S. President and diplomat; key figure in the American Founding and early republican governance.,North America,Politics & Military,
Askia Muhammad I,1443-01-01,1538-01-01,Songhai,"Reformed Songhai administration, promoted Islam, and expanded trans-Saharan trade routes.",Africa,Politics & Military,
Samuel de Champlain,1574-08-13,1635-12-25,French,Father of New France; founded Quebec and mapped the St. Lawrence Valley and Great Lakes.,North America,Exploration & Discovery,
Immanuel Kant,1724-04-22,1804-02-12,German,German philosopher; his Critique of Pure Reason profoundly shaped metaphysics and epistemology.,Europe,Philosophy,
Zheng Chenggong (鄭成功),1624-08-27,1662-06-23,Chinese,Ming loyalist who expelled the Dutch from Taiwan and resisted Qing rule.,East Asia,Politics & Military,
William of Rubruck,1220-01-01,1293-01-01,French,Franciscan explorer whose detailed Mongol travel account informed Roger Bacon and Marco Polo.,Europe,Exploration & Discovery,
Benjamin Franklin,1706-01-17,1790-04-17,American,"A Founding Father of the United States; scientist, inventor, diplomat, and statesman. Famous for experiments with electricity and helping draft the Declaration of Independence.",North America,Politics & Military,
Yue Fei (岳飛),1103-03-24,1142-01-27,Chinese,National hero who led Southern Song armies against the Jurchen Jin invaders.,East Asia,Politics & Military,
Li Qingzhao (李清照),1084-03-13,1155-01-01,Chinese,Greatest female poet of the Song dynasty; refined the ci lyric form.,East Asia,Literature,
Nizami Ganjavi,1141-01-01,1209-01-01,Persian,"Author of the Khamsa epics, a model for Persian and Ottoman literature.",Middle East,Literature,
Xu Guangqi (徐光啟),1562-04-24,1633-11-08,Chinese,Scholar-official who introduced Western mathematics and astronomy with the Jesuits.,East Asia,Science,
Wanli Emperor (萬曆帝),1563-09-04,1620-08-18,Chinese,"Presided over late-Ming prosperity, followed by fiscal decline; withdrew from active governance.",East Asia,Politics & Military,
Alauddin Khilji,1266-01-01,1316-01-04,Indian,Delhi sultan who repelled Mongol raids and reformed revenue and army pay systems.,South Asia,Politics & Military,
Babur,1483-02-14,1530-12-26,Turco-Mongol,Founded the Mughal Empire after victory at Panipat (1526).,South Asia,Politics & Military,
Chiang Kai-shek (蔣介石),1887-10-31,1975-04-05,Chinese,Leader of the Republic of China who headed the Kuomintang during the Chinese Civil War and later governed Taiwan.,East Asia,Politics & Military,
Saladin (صلاح الدين),1137-01-01,1193-03-04,Kurdish-Egyptian,"Re-united Egypt and Syria, defeated Crusaders at Hattin, and retook Jerusalem (1187).",Middle East,Politics & Military,
Sultan Qutuz (قطز),1222-01-01,1260-10-24,Turkic-Mamluk,Commanded Mamluk forces to the first major Mongol defeat at Ain Jalut.,Middle East,Politics & Military,
Frederick II (Hohenstaufen),1194-12-26,1250-12-13,German,"Holy Roman Emperor who blended Arabic and European science, founded Naples University, and led the Sixth Crusade.",Europe,Politics & Military,
Shunzhi Emperor (順治帝),1638-03-15,1661-02-05,Chinese,First Qing emperor to rule all China; began Sinicization of Manchu governance.,East Asia,Politics & Military,
Antonie van Leeuwenhoek,1632-10-24,1723-08-26,Dutch,Father of microbiology; first to observe bacteria and protozoa with early microscopes.,Europe,Science,
Aurangzeb,1618-11-03,1707-03-03,Indian,Last great Mughal emperor; expanded the empire to its largest extent.,South Asia,Politics & Military,
Henry Hudson,1565-01-01,1611-06-23,English,"Explored Arctic waters and the river/bay that bear his name, spurring Dutch and English claims.",Europe,Exploration & Discovery,
Adolf Hitler,1889-04-20,1945-04-30,German,"Leader of Nazi Germany, responsible for initiating World War II and orchestrating the Holocaust.",Europe,Politics & Military,
Empress Dowager Cixi (慈禧太后),1835-11-29,1908-11-15,Chinese,De facto ruler of late-Qing China; oversaw conservative resistance to and selective adoption of Western reforms.,East Asia,Politics & Military,
Leonardo da Vinci,1452-04-15,1519-05-02,Italian,"An Italian polymath of the High Renaissance active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect.",Europe,Visual Arts,
Kim Jong-un,1984-01-08,,North Korean,"Current leader of North Korea, known for his strict authoritarian policies and nuclear ambitions.",East Asia,Politics & Military,
John Milton,1608-12-09,1674-11-08,English,Author of Paradise Lost and advocate of free speech (Areopagitica).,Europe,Literature,
Saigo Takamori (西郷隆盛),1828-01-23,1877-09-24,Japanese,One of the Three Great Nobles of the Meiji Restoration; led the Satsuma Rebellion in defense of samurai interests.,East Asia,Politics & Military,
Jan Vermeer,1632-10-31,1675-12-15,Dutch,Dutch painter revered for luminous interior scenes and subtle use of light.,Europe,Visual Arts,
Prince Henry the Navigator,1394-03-04,1460-11-13,Portuguese,Royal patron whose Atlantic and African expeditions inaugurated the European Age of Discovery.,Europe,Exploration & Discovery,
Ji Yun (紀昀),1724-07-26,1805-03-14,Chinese,Scholar and chief editor of the vast imperial encyclopedia Siku Quanshu.,East Asia,Literature,
Christopher Columbus,1451-10-31,1506-05-20,Italian,"His 1492 voyage linked Europe and the Americas, reshaping global trade and empire building.",Europe,Exploration & Discovery,
Charles V,1500-02-24,1558-09-21,Spanish,Ruled the Spanish Empire and Holy Roman Empire at their zenith.,Europe,Politics & Military,
Katsushika Hokusai (葛飾北斎),1760-10-31,1849-05-10,Japanese,Master ukiyo-e printmaker; his Thirty-six Views of Mount Fuji transformed Japanese art.,East Asia,Visual Arts,
Francis Drake,1540-01-01,1596-01-28,English,Led the first English circumnavigation and challenged Spanish naval dominance.,Europe,Exploration & Discovery,
Thomas Aquinas,1225-01-28,1274-03-07,Italian,Summa Theologica fused Aristotelian philosophy with Christian theology; cornerstone of scholasticism.,Europe,Religion,
Franz Liszt,1811-10-22,1886-07-31,Hungarian,Virtuoso Hungarian pianist and composer celebrated for his technical mastery and innovations in piano performance.,Europe,Music,
Johannes Gutenberg,1400-01-01,1468-02-03,German,"Invented movable-type printing in Europe, revolutionizing the spread of information.",Europe,Science,
Zhu Xi (朱熹),1130-10-18,1200-04-23,Chinese,Systematized Neo-Confucianism; his commentaries became core Song civil-service texts.,East Asia,Philosophy,
Sejong the Great (世宗),1397-05-15,1450-04-08,Korean,Joseon monarch who created Hangul script and fostered scientific innovation.,East Asia,Politics & Military,
Michael VIII Palaiologos,1224-01-01,1282-12-11,Byzantine Greek,"Recaptured Constantinople in 1261, restoring Byzantine rule and prolonging Orthodox culture.",Europe,Politics & Military,
William Marshal,1147-01-01,1219-05-14,English,Legendary knight and regent who steered England through the Magna Carta crisis.,Europe,Politics & Military,
Henry II Plantagenet,1133-03-05,1189-07-06,English,Instituted common-law reforms and ruled a trans-Channel Angevin realm from Scotland to the Pyrenees.,Europe,Politics & Military,
Elizabeth I,1533-09-07,1603-03-24,English,Queen of England; defeat of the Spanish Armada and patronage of the Elizabethan cultural renaissance.,Europe,Politics & Military,
William Harvey,1578-04-01,1657-06-03,English,Demonstrated the circulation of blood and the heart's pumping action.,Europe,Science,
Joan of Arc,1412-01-06,1431-05-30,French,Teenage heroine whose leadership lifted the siege of Orleans and changed the course of the Hundred Years War.,Europe,Politics & Military,
George Washington,1732-02-22,1799-12-14,American,"A Founding Father and the first president of the United States. As commander of the Continental Army, Washington led Patriot forces to victory in the American Revolutionary War.",North America,Politics & Military,
Li Hongzhang (李鴻章),1823-02-15,1901-11-07,Chinese,"Influential Qing diplomat and reformer, architect of the Self-Strengthening Movement and China's first modern foreign ministry.",East Asia,Politics & Military,
Qianlong Emperor (乾隆皇帝),1711-09-25,1799-02-07,Chinese,Sixth Qing emperor; presided over a high-water mark of Qing prosperity and was a great patron of the arts.,East Asia,Politics & Military,
Tokugawa Ieyasu (徳川家康),1543-01-31,1616-06-01,Japanese,"Unified Japan and founded the Tokugawa shogunate, ushering in the Edo period.",East Asia,Politics & Military,
Napoleon Bonaparte,1769-08-15,1821-05-05,French,A French general and statesman who led military campaigns across Europe during the Napoleonic Wars from 1796 to 1815.,Europe,Politics & Military,
Saddam Hussein,1937-04-28,2006-12-30,Iraqi,"President of Iraq, his regime was characterized by oppressive control and regional conflicts.",Middle East,Politics & Military,
Joseph Haydn,1732-03-31,1809-05-31,Austrian,Austrian composer often called the Father of the Symphony and Father of the String Quartet.,Europe,Music,
Dante Alighieri,1265-05-21,1321-09-14,Italian,"Author of The Divine Comedy, bridging medieval theology and Renaissance humanism.",Europe,Literature,
Baybars (الظاهر بيبرس),1223-07-19,1277-07-01,Circassian,Mamluk sultan who halted Mongol advance at Ain Jalut and ended Crusader strongholds.,Middle East,Politics & Military,
Vasco da Gama,1460-01-01,1524-12-24,Portuguese,Opened the sea route from Europe to India around the Cape of Good Hope.,Europe,Exploration & Discovery,
Raphael,1483-04-06,1520-04-06,Italian,High-Renaissance master of painting and architecture.,Europe,Visual Arts,
Nasir al-Din al-Tusi,1201-02-18,1274-06-26,Persian,Astronomer-mathematician who modeled planetary motion and advanced trigonometry.,Middle East,Science,
Ivan IV the Terrible,1530-08-25,1584-03-28,Russian,First Tsar of Russia; centralized authority and expanded into Siberia.,Europe,Politics & Military,
Louis XIV,1638-09-05,1715-09-01,French,The Sun King of France; epitome of absolute monarchy and long-lasting centralized rule.,Europe,Politics & Military,
Nader Shah,1688-10-22,1747-06-19,Persian,Conqueror who briefly restored Persian power from India to the Caucasus.,Middle East,Politics & Military,
Osman I,1258-01-01,1326-08-01,Turkish,"Founder of the Ottoman dynasty, capturing Byzantine forts in Bithynia and carving a beylik from Byzantine frontiers.",Middle East,Politics & Military,
Nurhaci (努爾哈赤),1559-02-21,1626-09-30,Manchu,Jurchen chieftain who laid the groundwork for the Qing dynasty.,East Asia,Politics & Military,
Li Shizhen (李時珍),1518-07-03,1593-01-01,Chinese,Physician who compiled the monumental Compendium of Materia Medica.,East Asia,Science,
Galileo Galilei,1564-02-15,1642-01-08,Italian,"Performed telescopic observations, founded kinematics, and defended Copernicanism.",Europe,Science,
Milton Friedman,1912-07-31,2006-11-16,American,American economist who received the 1976 Nobel Prize in Economic Sciences. An intellectual leader of the Chicago school of economics.,North America,Economy,
Miguel de Cervantes,1547-09-29,1616-04-23,Spanish,"Author of Don Quixote, regarded as the foundation of the modern novel.",Europe,Literature,
Sunni Ali,1443-01-01,1492-11-06,Songhai,Conqueror who expanded Gao into West Africa's dominant Songhai Empire.,Africa,Politics & Military,
Lin Zexu (林則徐),1785-08-30,1850-11-22,Chinese,Imperial commissioner who led the campaign against opium in Canton - the catalyst for the First Opium War.,East Asia,Politics & Military,
Caravaggio,1571-09-29,1610-07-18,Italian,Baroque painter famous for dramatic chiaroscuro realism.,Europe,Visual Arts,
Huizong (宋徽宗),1082-11-02,1135-06-04,Chinese,Artist-emperor whose cultural patronage peaked Song arts but whose reign ended with Jurchen conquest.,East Asia,Politics & Military,
Le Loi (黎利),1385-09-10,1433-10-05,Vietnamese,Led the Lam Son uprising that expelled Ming occupation and founded the Later Le dynasty.,East Asia,Politics & Military,
Okubo Toshimichi (大久保利通),1830-09-26,1878-05-14,Japanese,Key Meiji statesman; drove major political and economic reforms that modernized Japan after the fall of the shogunate.,East Asia,Politics & Military,
Shah Abbas I,1571-01-27,1629-01-19,Persian,Safavid ruler who revitalized Persia and moved the capital to Isfahan.,Middle East,Politics & Military,
Genghis Khan (成吉思汗),1162-01-01,1227-08-18,Mongolian,"Founder of the Mongol Empire, creating history's largest contiguous land empire and opening Eurasian trade routes.",Central Asia,Politics & Military,
Skanderbeg (Gjergj Kastrioti),1405-05-06,1468-01-17,Albanian,Led a 25-year rebellion that checked Ottoman expansion in the Balkans.,Europe,Politics & Military,
Marquis de Lafayette,1757-09-06,1834-05-20,French,"French aristocrat who fought in both the American and French Revolutions, symbolizing Franco-American cooperation.",Europe,Politics & Military,
Kusunoki Masashige (楠木正成),1294-01-01,1336-07-04,Japanese,Loyalist commander famed for unconventional tactics during Japan's Kenmu Restoration.,East Asia,Politics & Military,
Taira no Kiyomori (平清盛),1118-01-01,1181-03-20,Japanese,"First samurai leader to dominate Kyoto court politics, paving the way for shogunal rule.",East Asia,Politics & Military,
Zhang Juzheng (張居正),1525-05-16,1582-07-09,Chinese,Grand Secretary whose Single Whip tax reforms stabilized Ming finances.,East Asia,Politics & Military,
Mark Twain,1835-11-30,1910-04-21,American,American writer and humorist known for his satirical wit and classics like Adventures of Huckleberry Finn.,North America,Literature,
Peter Paul Rubens,1577-06-28,1640-05-30,Flemish,Flemish Baroque painter known for dynamic compositions and vibrant color.,Europe,Visual Arts,
James Watt,1736-01-19,1819-08-25,Scottish,"Dramatically improved the steam engine, catalyzing the Industrial Revolution.",Europe,Science,
Omar Khayyam,1048-05-18,1131-12-04,Persian,Re-calibrated the Jalali calendar; eminent mathematician and poet of the Rubaiyat.,Middle East,Science,
Catherine the Great,1729-05-02,1796-11-17,Russian,Empress of Russia; expanded Russian territory and pursued Enlightenment-inspired reforms.,Europe,Politics & Military,
James Clerk Maxwell,1831-06-13,1879-11-05,Scottish,"Scottish physicist whose formulation of electromagnetic theory unified electricity, magnetism, and light.",Europe,Science,
Luo Guanzhong (羅貫中),1330-01-01,1400-01-01,Chinese,"Credited author of Romance of the Three Kingdoms, one of China's Four Great Classical Novels.",East Asia,Literature,
Sakamoto Ryoma (坂本龍馬),1836-01-03,1867-12-10,Japanese,"Visionary samurai who brokered the Satcho Alliance, paving the way for the Meiji Restoration.",East Asia,Politics & Military,
Utagawa Hiroshige (歌川広重),1797-06-01,1858-10-12,Japanese,Pioneer of landscape prints in ukiyo-e; his Fifty-three Stations of the Tokaido series had widespread influence.,East Asia,Visual Arts,
Li Zicheng (李自成),1606-09-22,1645-04-26,Chinese,Peasant rebel leader whose uprising toppled the Ming but soon collapsed.,East Asia,Politics & Military,
Richard I the Lionheart,1157-09-08,1199-04-06,English,Crusader king famed for campaigns against Saladin during the Third Crusade.,Europe,Politics & Military,
Augusto Pinochet,1915-11-25,2006-12-10,Chilean,Military dictator who ruled Chile with a repressive regime following a coup d'etat.,South America,Politics & Military,
Alexander Graham Bell,1847-03-03,1922-08-02,Scottish-American,"Inventor of the telephone, innovator in communication technologies.",North America,Science,
Sun Yat-sen (孫中山),1866-11-12,1925-03-12,Chinese,Revolutionary and Father of the Republic; led the 1911 Revolution that overthrew the Qing dynasty.,East Asia,Politics & Military,
Vlad III Dracula,1431-11-08,1476-12-01,Wallachian,Prince of Wallachia famed for guerrilla resistance and brutal tactics against the Ottomans.,Europe,Politics & Military,
Wu Sangui (吳三桂),1612-08-18,1678-10-02,Chinese,General who opened Shanhai Pass to the Manchus and later led the Revolt of the Three Feudatories.,East Asia,Politics & Military,
Titian,1488-01-01,1576-08-27,Italian,Venetian master renowned for color and portraiture.,Europe,Visual Arts,
Yongle Emperor (明永樂帝),1360-05-02,1424-08-12,Chinese,Ming emperor who sponsored Zheng He's voyages and built Beijing's Forbidden City.,East Asia,Politics & Military,
Niccolo Machiavelli,1469-05-03,1527-06-21,Italian,"Author of The Prince, defining modern political realism and statecraft.",Europe,Literature,
Ulugh Beg,1394-03-22,1449-10-27,Uzbek,Timurid astronomer-king who built Samarkand observatory and produced highly accurate star catalogues.,Central Asia,Science,
Blaise Pascal,1623-06-19,1662-08-19,French,"Advanced probability theory, devised Pascal's Triangle, and built a mechanical calculator.",Europe,Science,
Gaozong of Song (南宋高宗),1107-06-12,1187-11-09,Chinese,Re-established the Song court in Hangzhou after the Jingkang Disaster and negotiated peace with Jin.,East Asia,Politics & Military,
Zheng He (鄭和),1371-01-01,1433-07-12,Chinese,"Led seven Ming treasure-fleet voyages across the Indian Ocean, projecting Chinese maritime power.",East Asia,Exploration & Discovery,
Michelangelo Buonarroti,1475-03-06,1564-02-18,Italian,"An Italian sculptor, painter, architect, and poet of the High Renaissance with lasting influence on Western art.",Europe,Visual Arts,
Chongzhen Emperor (崇禎帝),1611-02-06,1644-04-25,Chinese,Last Ming ruler; committed suicide as Li Zicheng's rebels entered Beijing.,East Asia,Politics & Military,
Shenzong (北宋神宗),1048-05-25,1085-04-01,Chinese,"Northern Song emperor who sponsored Wang Anshi's New Policies, reshaping tax and military systems.",East Asia,Politics & Military,
Oda Nobunaga (織田信長),1534-06-23,1582-06-21,Japanese,Began Japan's military unification and introduced firearms on a large scale.,East Asia,Politics & Military,
Joseph Stalin,1878-12-18,1953-03-05,Soviet,"General Secretary of the Communist Party, known for his totalitarian regime marked by purges and repression.",Europe,Politics & Military,
Rene Descartes,1596-03-31,1650-02-11,French,Cogito ergo sum; founder of modern rationalist philosophy.,Europe,Philosophy,
Nikola Tesla,1856-07-10,1943-01-07,Serbian-American,Serbian-American inventor whose innovations in AC electrical systems transformed modern power distribution.,North America,Science,
Kim Jong-il,1941-02-16,2011-12-17,North Korean,"Succeeded his father and maintained an oppressive, centralized regime in North Korea.",East Asia,Politics & Military,
Akbar the Great,1542-10-15,1605-10-27,Indian,Mughal emperor who expanded India and promoted religious tolerance and administrative reforms.,South Asia,Politics & Military,
Heshen (和珅),1750-01-01,1799-02-22,Chinese,Infamous favorite of Qianlong; symbol of late-Qing corruption.,East Asia,Politics & Military,
Mehmed II the Conqueror,1432-03-30,1481-05-03,Ottoman,"Captured Constantinople in 1453, ending the Byzantine Empire and reshaping global trade.",Middle East,Politics & Military,
Emperor Meiji (明治天皇),1852-11-03,1912-07-30,Japanese,Under whose reign Japan underwent rapid modernization and emerged as a major world power.,East Asia,Politics & Military,
Jan Zizka,1360-01-01,1424-10-11,Czech,Innovative Hussite general who used wagon-fort tactics to defeat larger crusading armies.,Europe,Politics & Military,
Edouard Manet,1832-01-23,1883-04-30,French,Pioneering French painter bridging Realism and Impressionism with challenging traditional art conventions.,Europe,Visual Arts,
Hongwu Emperor (洪武帝),1328-10-21,1398-06-24,Chinese,Peasant-turned-emperor who founded the Ming dynasty and reformed land and tax systems.,East Asia,Politics & Military,
Ferdinand Magellan,1480-01-01,1521-04-27,Portuguese,"Initiated the first circumnavigation of the globe, proving global connectivity by sea.",Europe,Exploration & Discovery,
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,Austrian,A prolific and influential composer of the Classical period with more than 800 works representing virtually every Western classical genre of his time.,Europe,Music,
Kublai Khan (忽必烈汗),1215-09-23,1294-02-18,Mongolian,"Grandson of Genghis; conquered all of China and founded the Yuan dynasty, integrating East-West commerce.",East Asia,Politics & Military,
Minamoto no Yoritomo (源頼朝),1147-05-09,1199-02-09,Japanese,"Victorious in the Genpei War; founded the Kamakura shogunate, Japan's first warrior government.",East Asia,Politics & Military,
Kangxi Emperor (清康熙帝),1654-05-04,1722-12-20,Chinese,"Consolidated Qing rule and fostered science and culture, becoming one of China's longest-reigning emperors.",East Asia,Politics & Military,
Johannes Brahms,1833-05-07,1897-04-03,German,"German composer of the Romantic period, recognized for his symphonies, chamber music, and mastery of classical forms.",Europe,Music,
Xu Xiake (徐霞客),1587-01-05,1641-03-08,Chinese,Ming geographer whose travel diaries mapped China's karst landscapes and rivers.,East Asia,Exploration & Discovery,
Pol Pot,1925-05-19,1998-04-15,Cambodian,"Leader of the Khmer Rouge, responsible for the Cambodian genocide and radical social engineering.",East Asia,Politics & Military,
Subutai (速不臺),1175-01-01,1248-01-01,Mongolian,Genghis Khan's chief strategist; orchestrated campaigns from China to Central Europe.,Central Asia,Politics & Military,
Nicolaus Copernicus,1473-02-19,1543-05-24,Polish,Formulated the heliocentric model that overturned Ptolemaic astronomy.,Europe,Science,
Benito Mussolini,1883-07-29,1945-04-28,Italian,"Founder of Fascism, he ruled Italy with strict authoritarian policies until his downfall during WWII.",Europe,Politics & Military,
Christiaan Huygens,1629-04-14,1695-07-08,Dutch,"Formulated the wave theory of light, improved the pendulum clock, and discovered Saturn's rings.",Europe,Science,
Thomas Jefferson,1743-04-13,1826-07-04,American,Third President of the United States; principal author of the Declaration of Independence.,North America,Politics & Military,
Shi Nai'an (施耐庵),1296-01-01,1372-01-01,Chinese,"Traditional author of Water Margin, epic of outlaw-heroes in Song China.",East Asia,Literature,
Edgar Degas,1834-07-19,1917-09-27,French,"French painter and sculptor known for innovative portrayals of movement, particularly in ballet dancers.",Europe,Visual Arts,
Evangelista Torricelli,1608-10-15,1647-10-25,Italian,Invented the mercury barometer and advanced fluid-dynamics studies.,Europe,Science,
Adelard of Bath,1080-01-01,1152-01-01,English,"Translated Arabic science (Euclid, al-Khwarizmi) and popularised Arabic numerals in Northern Europe.",Europe,Science,
Tokugawa Iemitsu (徳川家光),1604-08-12,1651-06-08,Japanese,Third Tokugawa shogun; enforced sakoku isolation and centralized daimyo control.,East Asia,Politics & Military,
Diego Velazquez,1599-06-06,1660-08-06,Spanish,Spanish court painter; created the masterpiece Las Meninas.,Europe,Visual Arts,
Henry V of England,1386-09-16,1422-08-31,English,Won the Battle of Agincourt and concluded the Treaty of Troyes during the Hundred Years War.,Europe,Politics & Military,
Zuo Zongtang (左宗棠),1812-11-10,1885-09-05,Chinese,Military leader and statesman who quelled the Taiping Rebellion and reconsolidated Qing control in the northwest.,East Asia,Politics & Military,
Abraham Lincoln,1809-02-12,1865-04-15,American,"16th President of the United States, led the country through the Civil War and issued the Emancipation Proclamation.",North America,Politics & Military,
