name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Tony Blair,1953-05-06,,British,British Prime Minister (1997-2007) who modernized Labour Party. Legacy complicated by Iraq War involvement alongside George W. Bush.,Europe,Politics & Military,
Emmanuel Macron,1977-12-21,,French,"French President (2017-present), youngest since Napoleon. Centrist reformer facing challenges from both left and right populism.",Europe,Politics & Military,
Vladimir Putin,1952-10-07,,Russian,"Russian President/Prime Minister since 1999. Consolidated authoritarian control, annexed Crimea, invaded Ukraine, reasserted Russian power globally.",Europe,Politics & Military,
Xi Jinping (習近平),1953-06-15,,Chinese,"Chinese President (2012-present) who consolidated power, eliminated term limits, intensified surveillance state, and pursued aggressive foreign policy.",East Asia,Politics & Military,
Recep Tayyip Erdogan,1954-02-26,,Turkish,"Turkish President who transformed Turkey from parliamentary to presidential system. Increasingly authoritarian, expanded Turkish regional influence.",Middle East,Politics & Military,
Narendra Modi,1950-09-17,,Indian,Indian Prime Minister (2014-present) who promoted Hindu nationalism and economic development. Controversial for religious tensions and democratic backsliding concerns.,South Asia,Politics & Military,
Benjamin Netanyahu,1949-10-21,,Israeli,"Longest-serving Israeli Prime Minister. Dominated Israeli politics for decades, hardline on Palestinians, strengthened ties with Arab states.",Middle East,Politics & Military,
Mikhail Gorbachev,1931-03-02,2022-08-30,Soviet-Russian,Last Soviet leader whose glasnost and perestroika reforms led to end of Cold War and Soviet Union's collapse. Nobel Peace Prize winner.,Europe,Politics & Military,
Nelson Mandela,1918-07-18,2013-12-05,South African,"Anti-apartheid revolutionary who became South Africa's first Black president. Symbol of reconciliation and human rights, spent 27 years imprisoned.",Africa,Politics & Military,
Aung San Suu Kyi,1945-06-19,,Burmese,"Democracy activist who spent years under house arrest, won Nobel Peace Prize. Later led Myanmar government but legacy tarnished by Rohingya crisis.",East Asia,Politics & Military,
Malala Yousafzai,1997-07-12,,Pakistani,"Education activist who survived Taliban assassination attempt. Youngest Nobel Prize winner, advocates for girls' education worldwide.",South Asia,Politics & Military,
Greta Thunberg,2003-01-03,,Swedish,Youth climate activist who inspired global climate strikes. Symbol of young generation's climate activism and urgency.,Europe,Politics & Military,
Ai Weiwei (艾未未),1957-08-28,,Chinese,Artist and activist who challenges Chinese government through art. Imprisoned and exiled for political activism and human rights advocacy.,East Asia,Visual Arts,
Desmond Tutu,1931-10-07,2021-12-26,South African,"Anglican archbishop and anti-apartheid activist. Led Truth and Reconciliation Commission, symbol of moral leadership and social justice.",Africa,Religion,
Stephen Hawking,1942-01-08,2018-03-14,British,Theoretical physicist who revolutionized understanding of black holes and cosmology despite ALS. Made complex science accessible to public.,Europe,Science,
Tim Berners-Lee,1955-06-08,,British,"Invented the World Wide Web in 1989, fundamentally transforming global communication, commerce, and information sharing.",Europe,Science,
Craig Venter,1946-10-14,,American,Led private effort to sequence human genome. Pioneer in synthetic biology and personalized medicine.,North America,Science,
Tu Youyou (屠呦呦),1930-12-30,,Chinese,"Discovered artemisinin for malaria treatment, saving millions of lives. First Chinese woman to win Nobel Prize in Physiology or Medicine.",East Asia,Science,
Jennifer Doudna,1964-02-19,,American,"Co-developed CRISPR gene editing technology, revolutionary tool for genetic engineering. Nobel Prize winner raising ethical questions about human genome editing.",North America,Science,
Toni Morrison,1931-02-18,2019-08-05,American,"Nobel Prize-winning novelist whose works explored African-American experience. Author of Beloved, Song of Solomon, and other masterworks.",North America,Literature,
Gabriel García Márquez,1927-03-06,2014-04-17,Colombian,"Nobel Prize-winning author of One Hundred Years of Solitude. Pioneer of magical realism, most influential Latin American writer of modern era.",South America,Literature,
Haruki Murakami (村上春樹),1949-01-12,,Japanese,Internationally acclaimed novelist blending surrealism with contemporary themes. Works like Norwegian Wood and 1Q84 achieved global popularity.,East Asia,Literature,
Chimamanda Ngozi Adichie,1977-09-15,,Nigerian,"Acclaimed novelist and feminist voice. Author of Americanah and Half of a Yellow Sun, TED talk on feminism viewed millions of times.",Africa,Literature,
Michael Jackson,1958-08-29,2009-06-25,American,"King of Pop whose music, dance, and videos transformed popular culture globally. Thriller remains best-selling album ever, controversial personal life.",North America,Music,
Beyoncé,1981-09-04,,American,"Global superstar who transcended music to become cultural icon. Groundbreaking visual albums, powerful performances, advocate for Black culture and feminism.",North America,Music,
Taylor Swift,1989-12-13,,American,One of best-selling music artists who evolved from country to pop to alternative. Cultural phenomenon with massive fanbase and industry influence.,North America,Music,
BTS (K-pop group representative),1990-01-01,,South Korean,"Global K-pop phenomenon that broke Western music barriers. Symbol of Korean Wave cultural influence worldwide, ARMY fanbase unprecedented in scale.",East Asia,Music,
Steven Spielberg,1946-12-18,,American,"Most commercially successful director in history. Created Jaws, E.T., Jurassic Park, Schindler's List, shaped modern blockbuster cinema.",North America,Visual Arts,
Oprah Winfrey,1954-01-29,,American,"Media mogul whose talk show dominated daytime TV. First Black female billionaire, influential philanthropist and cultural tastemaker.",North America,Economy,
Michael Jordan,1963-02-17,,American,"Greatest basketball player who globalized NBA and transformed athlete branding. Six championships, cultural icon beyond sports.",North America,Politics & Military,
Lionel Messi,1987-06-24,,Argentine,"Considered greatest footballer ever alongside Ronaldo. Won record Ballon d'Ors, led Argentina to World Cup victory in 2022.",South America,Politics & Military,
Cristiano Ronaldo,1985-02-05,,Portuguese,"Five-time Ballon d'Or winner, all-time top scorer in football history. Global brand transcending sport, rivalry with Messi defined an era.",Europe,Politics & Military,
Serena Williams,1981-09-26,,American,"Dominant tennis player with 23 Grand Slam singles titles. Broke barriers as Black woman in tennis, advocate for equality and body positivity.",North America,Politics & Military,
Usain Bolt,1986-08-21,,Jamaican,"Fastest human ever, eight-time Olympic gold medalist. World records in 100m and 200m, transcended track and field as global personality.",North America,Politics & Military,
Pope John Paul II,1920-05-18,2005-04-02,Polish,"First non-Italian pope in 455 years whose 27-year papacy influenced collapse of communism. Traveled extensively, modernized Catholic Church outreach.",Europe,Religion,
Pope Francis,1936-12-17,,Argentine,"First Latin American and Jesuit pope. Progressive on social issues, environmental advocate, emphasized mercy and inclusion over doctrine.",South America,Religion,
Dalai Lama (14th),1935-07-06,,Tibetan,"Spiritual leader of Tibetan Buddhism and symbol of Tibetan independence. Nobel Peace Prize winner, advocate for compassion and nonviolence in exile.",East Asia,Religion,
Steve Wozniak,1950-08-11,,American,Co-founded Apple with Steve Jobs; engineered Apple I and II computers. Technical genius behind early personal computing revolution.,North America,Science,
Paul Allen,1953-01-21,2018-10-15,American,"Co-founded Microsoft with Bill Gates; funded research in AI, science, and space. Philanthropist and sports team owner.",North America,Economy,
Andy Grove,1936-09-02,2016-03-21,Hungarian-American,"Led Intel through microprocessor revolution; author of ""Only the Paranoid Survive."" Transformed Intel into industry leader.",North America,Economy,
Larry Ellison,1944-08-17,,American,"Founded Oracle Corporation, pioneered relational database software. Among world's wealthiest individuals, competitive sailor.",North America,Economy,
Reed Hastings,1960-10-08,,American,"Co-founded Netflix, transforming from DVD rental to streaming giant that revolutionized entertainment industry and viewing habits globally.",North America,Economy,
Michael Bloomberg,1942-02-14,,American,"Founded Bloomberg L.P., financial data empire. Served as New York City mayor, major philanthropist, and presidential candidate.",North America,Economy,
Warren Buffett,1930-08-30,,American,"Legendary investor known as Oracle of Omaha. Chairman of Berkshire Hathaway, one of world's wealthiest people, major philanthropist.",North America,Economy,
George Soros,1930-08-12,,Hungarian-American,"Investor and philanthropist who ""broke the Bank of England."" Major donor to liberal and pro-democracy causes worldwide, controversial figure.",North America,Economy,
Pony Ma (馬化騰),1971-10-29,,Chinese,"Founded Tencent, creator of WeChat and major gaming company. Among Asia's wealthiest, shaped China's internet landscape.",East Asia,Economy,
Masayoshi Son (孫正義),1957-08-11,,Japanese-Korean,"Founded SoftBank, major investor in tech companies worldwide. Visionary but volatile investor, massive bets on AI and technology.",East Asia,Economy,
Deng Xiaoping (鄧小平),1904-08-22,1997-02-19,Chinese,"Paramount leader who opened China to market reforms and foreign investment. ""To get rich is glorious"" - transformed China into economic powerhouse.",East Asia,Politics & Military,
Lee Kuan Yew,1923-09-16,2015-03-23,Singaporean,"Founding father of Singapore who transformed city-state from poverty to prosperity. Authoritarian but effective, model of developmental state.",East Asia,Politics & Military,
Yitzhak Rabin,1922-03-01,1995-11-04,Israeli,"Israeli Prime Minister who signed Oslo Accords seeking peace with Palestinians. Assassinated by Jewish extremist, symbol of peace efforts.",Middle East,Politics & Military,
Yasser Arafat,1929-08-24,2004-11-11,Palestinian,"Leader of PLO and Palestinian Authority. Symbol of Palestinian nationalism, controversial figure between terrorist and freedom fighter.",Middle East,Politics & Military,
Fidel Castro,1926-08-13,2016-11-25,Cuban,"Led Cuban Revolution, ruled Cuba for nearly 50 years. Communist leader who survived US attempts to overthrow him, polarizing legacy.",South America,Politics & Military,
Hugo Chávez,1954-07-28,2013-03-05,Venezuelan,"Venezuelan president who pursued socialist policies and challenged US influence in Latin America. Charismatic but divisive, economic crisis followed.",South America,Politics & Military,
Lech Wałęsa,1943-09-29,,Polish,"Solidarity movement leader who helped end communism in Poland. Electrician turned president, Nobel Peace Prize winner, symbol of peaceful revolution.",Europe,Politics & Military,
Vaclav Havel,1936-10-05,2011-12-18,Czech,"Playwright who became Czech president after Velvet Revolution. Intellectual leader of anti-communist movement, moral voice of post-Cold War Europe.",Europe,Politics & Military,
Shimon Peres,1923-08-02,2016-09-28,Israeli,"Israeli president and prime minister, key architect of Oslo peace process. Nobel Peace Prize winner, worked for Israeli-Palestinian reconciliation.",Middle East,Politics & Military,
Kofi Annan,1938-04-08,2018-08-18,Ghanaian,"UN Secretary-General (1997-2006) who promoted human rights and peacekeeping. Nobel Peace Prize winner, elegant diplomat from Africa.",Africa,Politics & Military,
Muhammad Yunus,1940-06-28,,Bangladeshi,"Founded Grameen Bank pioneering microfinance for poverty alleviation. Nobel Peace Prize winner, ""banker to the poor.""",South Asia,Economy,
Wangari Maathai,1940-04-01,2011-09-25,Kenyan,Environmental activist who founded Green Belt Movement planting millions of trees. First African woman to win Nobel Peace Prize.,Africa,Politics & Military,
Rigoberta Menchú,1959-01-09,,Guatemalan,Indigenous rights activist who documented violence against Guatemala's Maya people. Nobel Peace Prize winner at age 33.,South America,Politics & Military,
Shirin Ebadi,1947-06-21,,Iranian,"Iranian lawyer and human rights activist. First Muslim woman to win Nobel Peace Prize, advocate for democracy and women's rights.",Middle East,Politics & Military,
Osama bin Laden,1957-03-10,2011-05-02,Saudi Arabian,"Founded al-Qaeda, orchestrated September 11 attacks killing nearly 3000 people. Killed by US forces in Pakistan, defining figure of terrorism and War on Terror.",Middle East,Politics & Military,
Colin Powell,1937-04-05,2021-10-18,American,"First Black US Secretary of State and Chairman of Joint Chiefs. Led Gulf War, career complicated by Iraq War WMD claims.",North America,Politics & Military,
David Petraeus,1952-11-07,,American,"US general who led Iraq surge and Afghanistan operations. Later CIA director, career ended in scandal but reshaped counterinsurgency doctrine.",North America,Politics & Military,
Jane Goodall,1934-04-03,,British,Primatologist whose chimpanzee research revolutionized understanding of animal behavior and intelligence. Conservation advocate and UN Messenger of Peace.,Europe,Science,
E.O. Wilson,1929-06-10,2021-12-26,American,"Biologist who pioneered sociobiology and championed biodiversity. ""Darwin's natural heir,"" advocate for protecting half of Earth for nature.",North America,Science,
James Watson,1928-04-06,,American,"Co-discovered DNA double helix structure with Crick, revolutionizing biology. Nobel Prize winner, later controversial for comments on race and intelligence.",North America,Science,
Rosalind Franklin,1920-07-25,1958-04-16,British,"Chemist whose X-ray crystallography was crucial to discovering DNA structure. Contribution initially overlooked, posthumously recognized as key to discovery.",Europe,Science,
Carl Sagan,1934-11-09,1996-12-20,American,Astronomer who popularized science through Cosmos series and books. Advocated for critical thinking and searched for extraterrestrial life.,North America,Science,
Shinya Yamanaka (山中伸弥),1962-09-04,,Japanese,Nobel Prize-winning stem cell researcher who discovered induced pluripotent stem cells. Revolutionary breakthrough avoiding embryonic stem cell controversies.,East Asia,Science,
Maya Angelou,1928-04-04,2014-05-28,American,"Poet and civil rights activist whose ""I Know Why the Caged Bird Sings"" became American classic. Powerful voice for Black women's experiences.",North America,Literature,
Salman Rushdie,1947-06-19,,British-Indian,"Author whose ""Satanic Verses"" led to Iranian fatwa. Symbol of free speech versus religious censorship, survived 2022 assassination attempt.",Europe,Literature,
J.K. Rowling,1965-07-31,,British,"Created Harry Potter series, becoming world's best-selling book series. Billionaire author, later controversial for views on transgender issues.",Europe,Literature,
Stephen King,1947-09-21,,American,"Prolific horror and fiction writer with over 60 novels. ""King of Horror"" whose works adapted into countless films and TV series.",North America,Literature,
Isabel Allende,1942-08-02,,Chilean-American,"Latin America's most widely read author, known for magical realism. ""The House of the Spirits"" launched international career.",South America,Literature,
Mo Yan (莫言),1955-02-17,,Chinese,Nobel Prize-winning novelist known for vivid depictions of Chinese rural life. First Chinese citizen to win Nobel in Literature.,East Asia,Literature,
Princess Diana,1961-07-01,1997-08-31,British,Princess of Wales whose charisma and humanitarian work made her global icon. Tragic death in Paris car crash sparked unprecedented public mourning.,Europe,Politics & Military,
Robin Williams,1951-07-21,2014-08-11,American,"Beloved comedian and actor known for manic energy and emotional depth. From ""Mrs. Doubtfire"" to ""Good Will Hunting,"" tragic suicide shocked world.",North America,Visual Arts,
Audrey Hepburn,1929-05-04,1993-01-20,British-Belgian,"Iconic actress and humanitarian. From ""Breakfast at Tiffany's"" to UNICEF ambassador, epitome of elegance and grace.",Europe,Visual Arts,
Stanley Kubrick,1928-07-26,1999-03-07,American,"Perfectionist director who created ""2001,"" ""The Shining,"" ""A Clockwork Orange."" Influenced generations of filmmakers with visual mastery.",North America,Visual Arts,
Akira Kurosawa (黒澤明),1910-03-23,1998-09-06,Japanese,"Master filmmaker who influenced global cinema. ""Seven Samurai,"" ""Rashomon"" established template for action films and psychological storytelling.",East Asia,Visual Arts,
Martin Scorsese,1942-11-17,,American,"Legendary director of ""Taxi Driver,"" ""Goodfellas,"" ""The Departed."" Champion of film preservation, defined modern American cinema.",North America,Visual Arts,
Prince,1958-06-07,2016-04-21,American,"Musical genius who blended funk, rock, pop, and R&B. ""Purple Rain"" iconic, known for flamboyant style and protecting artistic control.",North America,Music,
Whitney Houston,1963-08-09,2012-02-11,American,"One of best-selling music artists ever with powerful voice. ""I Will Always Love You"" iconic, tragic struggle with addiction.",North America,Music,
Bob Marley,1945-02-06,1981-05-11,Jamaican,"Reggae legend who brought genre to worldwide audience. Rastafarian icon, songs of peace and resistance remain timeless.",North America,Music,
Freddie Mercury,1946-09-05,1991-11-24,British-Tanzanian,"Queen frontman with extraordinary vocal range and stage presence. ""Bohemian Rhapsody"" masterpiece, died of AIDS complications.",Europe,Music,
David Bowie,1947-01-08,2016-01-10,British,"Shape-shifting artist who constantly reinvented himself. From Ziggy Stardust to Thin White Duke, influenced music, fashion, and culture.",Europe,Music,
Muhammad Ali,1942-01-17,2016-06-03,American,"Greatest boxer who transcended sport as civil rights activist. ""Float like butterfly, sting like bee,"" refused Vietnam draft, global icon.",North America,Politics & Military,
Pelé,1940-10-23,2022-12-29,Brazilian,"Football legend widely considered greatest player ever before Messi/Ronaldo era. Won three World Cups, scored over 1000 goals.",South America,Politics & Military,
Diego Maradona,1960-10-30,2020-11-25,Argentine,"Football genius whose ""Hand of God"" and brilliant solo goal in 1986 World Cup epitomized his career. Flawed genius, beloved in Argentina.",South America,Politics & Military,
Tiger Woods,1975-12-30,,American,"Dominated golf like no one before, won 15 majors. Broke racial barriers, personal scandals affected legacy but comeback at 2019 Masters legendary.",North America,Politics & Military,
Kobe Bryant,1978-08-23,2020-01-26,American,"NBA legend with five championships and ""Mamba Mentality."" Tragic helicopter crash with daughter shocked world, massive global mourning.",North America,Politics & Military,
Hideki Tojo (東條英機),1884-12-30,1948-12-23,Japanese,Prime Minister of Japan during WWII who authorized Pearl Harbor attack. Executed as war criminal for atrocities including treatment of POWs.,East Asia,Politics & Military,
Franklin D. Roosevelt,1882-01-30,1945-04-12,American,"US President through Great Depression and WWII. New Deal transformed American government, led Allies to brink of victory, died in office.",North America,Politics & Military,
Winston Churchill,1874-11-30,1965-01-24,British,"British Prime Minister who rallied Britain during WWII with stirring speeches. ""We shall never surrender"" - symbol of defiance against Nazi Germany.",Europe,Politics & Military,
Charles de Gaulle,1890-11-22,1970-11-09,French,"Led Free French during WWII, founded Fifth Republic. Towering figure who restored French pride and pursued independent foreign policy.",Europe,Politics & Military,
Harry S. Truman,1884-05-08,1972-12-26,American,"US President who dropped atomic bombs on Japan, began Cold War containment, and desegregated military. ""The buck stops here.""",North America,Politics & Military,
Dwight D. Eisenhower,1890-10-14,1969-03-28,American,"WWII Supreme Allied Commander then US President. Warned of ""military-industrial complex,"" presided over 1950s prosperity and Cold War tensions.",North America,Politics & Military,
John F. Kennedy,1917-05-29,1963-11-22,American,"Youngest elected US President whose assassination shocked world. Cuban Missile Crisis, space race, civil rights, inspiring rhetoric cut short.",North America,Politics & Military,
Lyndon B. Johnson,1908-08-27,1973-01-22,American,US President who passed landmark Civil Rights Act and Great Society programs. Legacy overshadowed by escalation of Vietnam War.,North America,Politics & Military,
Richard Nixon,1913-01-09,1994-04-22,American,"US President who opened relations with China, ended Vietnam War, but resigned in disgrace over Watergate scandal. Complex legacy.",North America,Politics & Military,
Ronald Reagan,1911-02-06,2004-06-05,American,"Conservative US President who challenged Soviet Union to ""tear down this wall."" Reaganomics, ended Cold War, transformed Republican Party.",North America,Politics & Military,
George H.W. Bush,1924-06-12,2018-11-30,American,"US President who oversaw end of Cold War and Gulf War. ""Thousand points of light,"" diplomatic skill, one-term presidency.",North America,Politics & Military,
Bill Clinton,1946-08-19,,American,"US President who presided over 1990s prosperity and tech boom. Impeached over Monica Lewinsky scandal but remained popular, skilled politician.",North America,Politics & Military,
George W. Bush,1946-07-06,,American,"US President defined by 9/11 response and Iraq War. Controversial legacy of War on Terror, financial crisis at end of presidency.",North America,Politics & Military,
Joe Biden,1942-11-20,,American,"Current US President, oldest ever elected. Long Senate career, Obama VP, defeated Trump, focused on infrastructure and climate.",North America,Politics & Military,
Nikita Khrushchev,1894-04-15,1971-09-11,Soviet,"Soviet leader who denounced Stalin, Cuban Missile Crisis, built Berlin Wall. ""We will bury you"" but pursued peaceful coexistence.",Europe,Politics & Military,
Leonid Brezhnev,1906-12-19,1982-11-10,Soviet,"Soviet leader during period of stagnation. Invaded Czechoslovakia and Afghanistan, presided over nuclear parity with US.",Europe,Politics & Military,
Boris Yeltsin,1931-02-01,2007-04-23,Russian,"First president of post-Soviet Russia. Dissolved USSR, introduced capitalism chaotically, defended White House against coup.",Europe,Politics & Military,
Josip Broz Tito,1892-05-07,1980-05-04,Yugoslav,"Communist leader who kept Yugoslavia independent from Soviet Union. Held multi-ethnic country together, non-aligned movement leader.",Europe,Politics & Military,
Jawaharlal Nehru,1889-11-14,1964-05-27,Indian,"First Prime Minister of independent India. Architect of non-aligned movement, secular democracy, socialist economic policies.",South Asia,Politics & Military,
Indira Gandhi,1917-11-19,1984-10-31,Indian,"First female Prime Minister of India, daughter of Nehru. Strong leader who declared emergency, assassinated by Sikh bodyguards.",South Asia,Politics & Military,
Benazir Bhutto,1953-06-21,2007-12-27,Pakistani,"First female Prime Minister of Muslim-majority country. Charismatic leader from prominent family, assassinated while campaigning.",South Asia,Politics & Military,
Park Chung-hee (박정희),1917-11-14,1979-10-26,South Korean,"Military dictator who transformed South Korea into economic powerhouse. Authoritarian but effective, assassinated by intelligence chief.",East Asia,Politics & Military,
Ho Chi Minh (胡志明),1890-05-19,1969-09-02,Vietnamese,"Communist revolutionary who led Vietnam to independence from France and war against US. National hero, Saigon renamed for him.",East Asia,Politics & Military,
Suharto,1921-06-08,2008-01-27,Indonesian,Indonesian dictator for 31 years who brought stability and economic growth but massive corruption. Resigned during 1998 financial crisis.,East Asia,Politics & Military,
Corazon Aquino,1933-01-25,2009-08-01,Filipino,"First female Philippine President who led People Power Revolution overthrowing Marcos. Restored democracy, symbol of peaceful change.",East Asia,Politics & Military,
Gamal Abdel Nasser,1918-01-15,1970-09-28,Egyptian,"Egyptian leader who nationalized Suez Canal, championed pan-Arabism. Hero to Arab world, challenged Western influence.",Middle East,Politics & Military,
Anwar Sadat,1918-12-25,1981-10-06,Egyptian,Egyptian president who made peace with Israel at Camp David. Won Nobel Prize but assassinated by Islamic extremists.,Middle East,Politics & Military,
Golda Meir,1898-05-03,1978-12-08,Israeli,"First female Prime Minister of Israel, ""Iron Lady"" who led during Yom Kippur War. Chain-smoking grandmother image, tough negotiator.",Middle East,Politics & Military,
Ayatollah Khomeini,1902-09-24,1989-06-03,Iranian,"Islamic revolutionary who overthrew Shah, established theocratic Iran. Anti-Western, issued fatwa against Rushdie, Iran-Iraq War.",Middle East,Politics & Military,
Hafez al-Assad,1930-10-06,2000-06-10,Syrian,"Syrian dictator who ruled with iron fist for 30 years. Brutal suppression of dissent, father of Bashar al-Assad.",Middle East,Politics & Military,
Muammar Gaddafi,1942-06-07,2011-10-20,Libyan,Libyan dictator known for eccentric behavior and terrorism sponsorship. Arab Spring uprising led to NATO intervention and brutal death.,Middle East,Politics & Military,
Kwame Nkrumah,1909-09-21,1972-04-27,Ghanaian,"Led Ghana to independence, first sub-Saharan African nation to do so. Pan-Africanist visionary, overthrown in coup.",Africa,Politics & Military,
Jomo Kenyatta,1897-10-20,1978-08-22,Kenyan,"Led Kenya to independence from Britain. ""Father of the Nation,"" balanced tribalism with nation-building.",Africa,Politics & Military,
Julius Nyerere,1922-04-13,1999-10-14,Tanzanian,Tanzanian president who pursued African socialism (Ujamaa). Respected elder statesman despite economic failures.,Africa,Politics & Military,
Idi Amin,1925-01-01,2003-08-16,Ugandan,"Brutal Ugandan dictator who killed 300,000+ people. Expelled Asians, bizarre personality, overthrown and exiled.",Africa,Politics & Military,
Robert Mugabe,1924-02-21,2019-09-06,Zimbabwean,"Led Zimbabwe from liberation hero to authoritarian ruler. Land seizures destroyed economy, hyperinflation, finally removed in coup.",Africa,Politics & Military,
F.W. de Klerk,1936-03-18,2021-11-11,South African,"Last apartheid-era South African president who negotiated with Mandela to end apartheid. Shared Nobel Prize, controversial legacy.",Africa,Politics & Military,
Patrice Lumumba,1925-07-02,1961-01-17,Congolese,"First Prime Minister of independent Congo, assassinated with Western involvement. Martyr of African independence, Cold War victim.",Africa,Politics & Military,
Juan Perón,1895-10-08,1974-07-01,Argentine,"Argentine populist leader with wife Evita. Peronism dominated Argentine politics for decades, mix of socialism and nationalism.",South America,Politics & Military,
Eva Perón (Evita),1919-05-07,1952-07-26,Argentine,"First Lady of Argentina, beloved by working class. ""Don't cry for me Argentina"" - died young, became political icon.",South America,Politics & Military,
Che Guevara,1928-06-14,1967-10-09,Argentine,"Revolutionary icon who fought alongside Castro. Left Cuba to spread revolution, killed in Bolivia, face became global symbol.",South America,Politics & Military,
Salvador Allende,1908-06-26,1973-09-11,Chilean,"First Marxist elected president in Latin America. Overthrown in CIA-backed coup, died in palace as Pinochet took power.",South America,Politics & Military,
Lula da Silva,1945-10-27,,Brazilian,"Working-class Brazilian president who lifted millions from poverty. Corruption scandals, imprisoned, returned to presidency. Controversial but transformative.",South America,Politics & Military,
Daniel Ortega,1945-11-11,,Nicaraguan,"Sandinista revolutionary who overthrew Somoza, now authoritarian president. From guerrilla hero to accused dictator.",South America,Politics & Military,
Hosni Mubarak,1928-05-04,2020-02-25,Egyptian,"Egyptian president for 30 years, overthrown in Arab Spring. Maintained peace with Israel, authoritarian rule, died after trial.",Middle East,Politics & Military,
Slobodan Milošević,1941-08-20,2006-03-11,Serbian,"Serbian leader who orchestrated ethnic cleansing in Yugoslav Wars. First head of state tried for genocide, died during trial.",Europe,Politics & Military,
Helmut Kohl,1930-04-03,2017-06-16,German,"German Chancellor who reunified Germany after fall of Berlin Wall. Longest-serving postwar chancellor, architect of European Union.",Europe,Politics & Military,
Silvio Berlusconi,1936-09-29,2023-06-12,Italian,"Media mogul who dominated Italian politics despite scandals. Three-time prime minister, controversial ""bunga bunga"" parties, legal troubles.",Europe,Politics & Military,
